"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:00:04Z",2020,11,4,10,0,4,1604512804,0,0,0,0
"edison","2020-11-04T00:34:55Z",2020,11,4,0,34,55,1604478895,7,0,0.143,0.857
"edison","2020-11-04T00:41:07Z",2020,11,4,0,41,7,1604479267,0,0,0,0
"edison","2020-11-04T00:45:12Z",2020,11,4,0,45,12,1604479512,11,0,0.636,0.364
"edison","2020-11-04T00:53:56Z",2020,11,4,0,53,56,1604480036,0,0,0,0
"edison","2020-11-04T01:01:47Z",2020,11,4,1,1,47,1604480507,382980,3,0.529,0.456
"edison","2020-11-04T01:02:14Z",2020,11,4,1,2,14,1604480534,1180385,10,0.393,0.594
"edison","2020-11-04T01:03:35Z",2020,11,4,1,3,35,1604480615,1208318,10,0.4,0.587
"edison","2020-11-04T01:06:42Z",2020,11,4,1,6,42,1604480802,1212484,10,0.401,0.585
"edison","2020-11-04T01:06:55Z",2020,11,4,1,6,55,1604480815,1218197,10,0.403,0.583
"edison","2020-11-04T01:10:38Z",2020,11,4,1,10,38,1604481038,2625107,23,0.416,0.571
"edison","2020-11-04T01:12:05Z",2020,11,4,1,12,5,1604481125,2883632,25,0.421,0.565
"edison","2020-11-04T01:12:41Z",2020,11,4,1,12,41,1604481161,2897293,25,0.423,0.564
"edison","2020-11-04T01:13:12Z",2020,11,4,1,13,12,1604481192,2983271,26,0.426,0.561
"edison","2020-11-04T01:15:03Z",2020,11,4,1,15,3,1604481303,3039380,26,0.432,0.555
"edison","2020-11-04T01:15:28Z",2020,11,4,1,15,28,1604481328,3047422,26,0.433,0.553
"edison","2020-11-04T01:15:55Z",2020,11,4,1,15,55,1604481355,3047423,26,0.433,0.553
"edison","2020-11-04T01:16:18Z",2020,11,4,1,16,18,1604481378,3059967,26,0.435,0.552
"edison","2020-11-04T01:16:35Z",2020,11,4,1,16,35,1604481395,3758725,32,0.446,0.541
"edison","2020-11-04T01:16:58Z",2020,11,4,1,16,58,1604481418,3763956,32,0.447,0.54
"edison","2020-11-04T01:19:07Z",2020,11,4,1,19,7,1604481547,3780651,32,0.448,0.539
