"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_cornynj","vote_shares_hegarm"
"edison","2020-11-04T09:59:44Z",2020,11,4,9,59,44,1604512784,0,0,0,0
"edison","2020-11-04T00:35:17Z",2020,11,4,0,35,17,1604478917,5,0,0,1
"edison","2020-11-04T00:41:18Z",2020,11,4,0,41,18,1604479278,0,0,0,0
"edison","2020-11-04T00:45:32Z",2020,11,4,0,45,32,1604479532,10,0,0.6,0.4
"edison","2020-11-04T00:54:14Z",2020,11,4,0,54,14,1604480054,0,0,0,0
"edison","2020-11-04T01:02:14Z",2020,11,4,1,2,14,1604480534,794907,7,0.357,0.62
"edison","2020-11-04T01:02:45Z",2020,11,4,1,2,45,1604480565,1174017,10,0.421,0.555
"edison","2020-11-04T01:09:39Z",2020,11,4,1,9,39,1604480979,1179675,10,0.423,0.553
"edison","2020-11-04T01:11:07Z",2020,11,4,1,11,7,1604481067,1183798,10,0.425,0.551
"edison","2020-11-04T01:11:56Z",2020,11,4,1,11,56,1604481116,2570898,22,0.437,0.54
"edison","2020-11-04T01:13:25Z",2020,11,4,1,13,25,1604481205,2824446,24,0.442,0.535
"edison","2020-11-04T01:14:08Z",2020,11,4,1,14,8,1604481248,2838022,24,0.444,0.533
"edison","2020-11-04T01:14:57Z",2020,11,4,1,14,57,1604481297,2920607,25,0.446,0.531
"edison","2020-11-04T01:15:46Z",2020,11,4,1,15,46,1604481346,2920627,25,0.446,0.531
"edison","2020-11-04T01:15:55Z",2020,11,4,1,15,55,1604481355,2976461,26,0.452,0.525
"edison","2020-11-04T01:17:08Z",2020,11,4,1,17,8,1604481428,2990705,26,0.454,0.523
"edison","2020-11-04T01:19:07Z",2020,11,4,1,19,7,1604481547,3690275,32,0.466,0.511
"edison","2020-11-04T01:22:12Z",2020,11,4,1,22,12,1604481732,3762503,32,0.472,0.505
"edison","2020-11-04T01:22:58Z",2020,11,4,1,22,58,1604481778,3836853,33,0.476,0.501
"edison","2020-11-04T01:23:08Z",2020,11,4,1,23,8,1604481788,3836867,33,0.476,0.501
"edison","2020-11-04T01:23:46Z",2020,11,4,1,23,46,1604481826,3855956,33,0.477,0.5
"edison","2020-11-04T01:24:02Z",2020,11,4,1,24,2,1604481842,3859756,33,0.477,0.5
"edison","2020-11-04T01:24:29Z",2020,11,4,1,24,29,1604481869,3859760,33,0.477,0.5
"edison","2020-11-04T01:25:36Z",2020,11,4,1,25,36,1604481936,3886830,33,0.479,0.497
"edison","2020-11-04T01:25:58Z",2020,11,4,1,25,58,1604481958,3979125,34,0.481,0.496
"edison","2020-11-04T01:26:10Z",2020,11,4,1,26,10,1604481970,4106079,35,0.488,0.489
"edison","2020-11-04T01:26:27Z",2020,11,4,1,26,27,1604481987,4215247,36,0.494,0.483
"edison","2020-11-04T01:29:14Z",2020,11,4,1,29,14,1604482154,4215254,36,0.494,0.483
"edison","2020-11-04T01:29:35Z",2020,11,4,1,29,35,1604482175,4875716,42,0.484,0.493
"edison","2020-11-04T01:31:33Z",2020,11,4,1,31,33,1604482293,5103882,44,0.489,0.488
"edison","2020-11-04T01:32:04Z",2020,11,4,1,32,4,1604482324,5145775,44,0.49,0.487
"edison","2020-11-04T01:33:05Z",2020,11,4,1,33,5,1604482385,5145778,44,0.49,0.487
"edison","2020-11-04T01:33:46Z",2020,11,4,1,33,46,1604482426,5356564,46,0.5,0.477
"edison","2020-11-04T01:34:07Z",2020,11,4,1,34,7,1604482447,5386050,46,0.501,0.476
"edison","2020-11-04T01:34:13Z",2020,11,4,1,34,13,1604482453,5386052,46,0.501,0.476
"edison","2020-11-04T01:35:09Z",2020,11,4,1,35,9,1604482509,5469983,47,0.5,0.477
"edison","2020-11-04T01:35:54Z",2020,11,4,1,35,54,1604482554,5534846,47,0.503,0.473
"edison","2020-11-04T01:37:07Z",2020,11,4,1,37,7,1604482627,6018779,52,0.508,0.469
"edison","2020-11-04T01:37:32Z",2020,11,4,1,37,32,1604482652,6018912,52,0.508,0.469
"edison","2020-11-04T01:37:53Z",2020,11,4,1,37,53,1604482673,6052148,52,0.509,0.467
"edison","2020-11-04T01:38:39Z",2020,11,4,1,38,39,1604482719,6287964,54,0.51,0.466
"edison","2020-11-04T01:39:10Z",2020,11,4,1,39,10,1604482750,6287967,54,0.51,0.466
"edison","2020-11-04T01:39:41Z",2020,11,4,1,39,41,1604482781,6309393,54,0.511,0.466
"edison","2020-11-04T01:40:12Z",2020,11,4,1,40,12,1604482812,6328225,54,0.512,0.465
"edison","2020-11-04T01:42:07Z",2020,11,4,1,42,7,1604482927,7036458,60,0.496,0.481
"edison","2020-11-04T01:43:04Z",2020,11,4,1,43,4,1604482984,7036566,60,0.496,0.481
"edison","2020-11-04T01:43:12Z",2020,11,4,1,43,12,1604482992,7036579,60,0.496,0.481
"edison","2020-11-04T01:43:35Z",2020,11,4,1,43,35,1604483015,7061939,61,0.497,0.48
"edison","2020-11-04T01:44:46Z",2020,11,4,1,44,46,1604483086,7081299,61,0.497,0.479
"edison","2020-11-04T01:47:05Z",2020,11,4,1,47,5,1604483225,7129673,61,0.499,0.478
"edison","2020-11-04T01:50:58Z",2020,11,4,1,50,58,1604483458,7177834,62,0.501,0.476
"edison","2020-11-04T01:52:11Z",2020,11,4,1,52,11,1604483531,7263014,62,0.503,0.473
"edison","2020-11-04T01:53:08Z",2020,11,4,1,53,8,1604483588,7287677,63,0.503,0.474
"edison","2020-11-04T01:54:08Z",2020,11,4,1,54,8,1604483648,7348386,63,0.505,0.472
"edison","2020-11-04T01:55:47Z",2020,11,4,1,55,47,1604483747,7379604,63,0.505,0.472
"edison","2020-11-04T01:55:57Z",2020,11,4,1,55,57,1604483757,7381166,63,0.505,0.472
"edison","2020-11-04T01:56:19Z",2020,11,4,1,56,19,1604483779,7381637,63,0.505,0.471
"edison","2020-11-04T01:56:56Z",2020,11,4,1,56,56,1604483816,7401074,63,0.506,0.471
"edison","2020-11-04T01:57:04Z",2020,11,4,1,57,4,1604483824,7409471,64,0.506,0.47
"edison","2020-11-04T01:59:07Z",2020,11,4,1,59,7,1604483947,7411314,64,0.506,0.47
"edison","2020-11-04T02:01:23Z",2020,11,4,2,1,23,1604484083,7466036,64,0.508,0.469
"edison","2020-11-04T02:01:35Z",2020,11,4,2,1,35,1604484095,7466040,64,0.508,0.469
"edison","2020-11-04T02:03:19Z",2020,11,4,2,3,19,1604484199,7466054,64,0.508,0.469
"edison","2020-11-04T02:06:51Z",2020,11,4,2,6,51,1604484411,7466727,64,0.508,0.469
"edison","2020-11-04T02:07:39Z",2020,11,4,2,7,39,1604484459,7484568,64,0.509,0.468
"edison","2020-11-04T02:08:20Z",2020,11,4,2,8,20,1604484500,7484866,64,0.509,0.468
"edison","2020-11-04T02:11:39Z",2020,11,4,2,11,39,1604484699,7485270,64,0.509,0.468
"edison","2020-11-04T02:12:03Z",2020,11,4,2,12,3,1604484723,7487747,64,0.509,0.468
"edison","2020-11-04T02:12:42Z",2020,11,4,2,12,42,1604484762,7588182,65,0.511,0.466
"edison","2020-11-04T02:13:17Z",2020,11,4,2,13,17,1604484797,7609635,65,0.511,0.466
"edison","2020-11-04T02:14:31Z",2020,11,4,2,14,31,1604484871,7625668,65,0.512,0.465
"edison","2020-11-04T02:19:16Z",2020,11,4,2,19,16,1604485156,7657912,66,0.513,0.464
"edison","2020-11-04T02:19:43Z",2020,11,4,2,19,43,1604485183,7660813,66,0.513,0.464
"edison","2020-11-04T02:22:13Z",2020,11,4,2,22,13,1604485333,7705748,66,0.514,0.463
"edison","2020-11-04T02:22:30Z",2020,11,4,2,22,30,1604485350,7907431,68,0.509,0.467
"edison","2020-11-04T02:23:16Z",2020,11,4,2,23,16,1604485396,7907432,68,0.509,0.467
"edison","2020-11-04T02:23:49Z",2020,11,4,2,23,49,1604485429,7980314,68,0.511,0.466
"edison","2020-11-04T02:24:27Z",2020,11,4,2,24,27,1604485467,7980483,68,0.511,0.466
"edison","2020-11-04T02:25:53Z",2020,11,4,2,25,53,1604485553,8052695,69,0.51,0.466
"edison","2020-11-04T02:26:16Z",2020,11,4,2,26,16,1604485576,8052953,69,0.51,0.466
"edison","2020-11-04T02:27:15Z",2020,11,4,2,27,15,1604485635,8230436,71,0.508,0.469
"edison","2020-11-04T02:27:40Z",2020,11,4,2,27,40,1604485660,8232447,71,0.508,0.468
