"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T09:59:44Z",2020,11,4,9,59,44,1604512784,0,0,0,0
"edison","2020-11-04T03:06:42Z",2020,11,4,3,6,42,1604488002,18130,1,0.338,0.647
"edison","2020-11-04T03:08:27Z",2020,11,4,3,8,27,1604488107,360385,27,0.414,0.557
"edison","2020-11-04T03:09:49Z",2020,11,4,3,9,49,1604488189,361292,27,0.415,0.556
"edison","2020-11-04T03:11:12Z",2020,11,4,3,11,12,1604488272,388195,29,0.432,0.538
"edison","2020-11-04T03:13:54Z",2020,11,4,3,13,54,1604488434,464144,34,0.481,0.489
"edison","2020-11-04T03:15:50Z",2020,11,4,3,15,50,1604488550,464146,34,0.481,0.489
"edison","2020-11-04T03:17:31Z",2020,11,4,3,17,31,1604488651,464720,34,0.481,0.489
"edison","2020-11-04T03:20:44Z",2020,11,4,3,20,44,1604488844,602218,45,0.508,0.459
"edison","2020-11-04T03:25:59Z",2020,11,4,3,25,59,1604489159,610158,45,0.513,0.454
"edison","2020-11-04T03:28:02Z",2020,11,4,3,28,2,1604489282,610454,45,0.512,0.454
"edison","2020-11-04T03:30:12Z",2020,11,4,3,30,12,1604489412,613469,45,0.514,0.452
"edison","2020-11-04T03:33:01Z",2020,11,4,3,33,1,1604489581,799939,59,0.545,0.415
"edison","2020-11-04T03:37:38Z",2020,11,4,3,37,38,1604489858,799973,59,0.545,0.415
"edison","2020-11-04T03:40:21Z",2020,11,4,3,40,21,1604490021,830179,61,0.554,0.406
"edison","2020-11-04T03:42:21Z",2020,11,4,3,42,21,1604490141,831255,62,0.554,0.405
"edison","2020-11-04T03:53:09Z",2020,11,4,3,53,9,1604490789,832126,62,0.555,0.405
"edison","2020-11-04T03:54:07Z",2020,11,4,3,54,7,1604490847,834579,62,0.553,0.404
"edison","2020-11-04T03:54:33Z",2020,11,4,3,54,33,1604490873,834639,62,0.553,0.404
"edison","2020-11-04T03:57:20Z",2020,11,4,3,57,20,1604491040,909155,67,0.555,0.403
"edison","2020-11-04T04:00:19Z",2020,11,4,4,0,19,1604491219,920814,68,0.558,0.4
"edison","2020-11-04T04:29:19Z",2020,11,4,4,29,19,1604492959,923193,68,0.559,0.399
"edison","2020-11-04T04:33:18Z",2020,11,4,4,33,18,1604493198,923305,68,0.558,0.399
"edison","2020-11-04T04:33:58Z",2020,11,4,4,33,58,1604493238,923341,68,0.558,0.399
"edison","2020-11-04T04:44:41Z",2020,11,4,4,44,41,1604493881,924493,68,0.559,0.399
"edison","2020-11-04T04:47:08Z",2020,11,4,4,47,8,1604494028,924684,68,0.559,0.399
"edison","2020-11-04T04:51:43Z",2020,11,4,4,51,43,1604494303,924805,69,0.559,0.399
"edison","2020-11-04T04:55:07Z",2020,11,4,4,55,7,1604494507,925636,69,0.561,0.4
"edison","2020-11-04T04:55:51Z",2020,11,4,4,55,51,1604494551,925863,69,0.561,0.4
"edison","2020-11-04T04:59:51Z",2020,11,4,4,59,51,1604494791,928569,69,0.562,0.399
"edison","2020-11-04T05:04:30Z",2020,11,4,5,4,30,1604495070,947057,70,0.567,0.395
"edison","2020-11-04T05:08:40Z",2020,11,4,5,8,40,1604495320,957328,71,0.569,0.392
"edison","2020-11-04T05:19:19Z",2020,11,4,5,19,19,1604495959,983616,73,0.577,0.388
"edison","2020-11-04T05:40:17Z",2020,11,4,5,40,17,1604497217,985547,73,0.577,0.387
"edison","2020-11-04T05:54:26Z",2020,11,4,5,54,26,1604498066,1001807,74,0.578,0.387
"edison","2020-11-04T05:55:01Z",2020,11,4,5,55,1,1604498101,1001928,74,0.578,0.387
