"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T07:41:41Z",2020,11,4,7,41,41,1604504501,0,0,0,0
"edison","2020-11-04T00:16:17Z",2020,11,4,0,16,17,1604477777,2396,1,0.373,0.627
"edison","2020-11-04T00:35:09Z",2020,11,4,0,35,9,1604478909,9355,3,0.354,0.618
"edison","2020-11-04T00:45:08Z",2020,11,4,0,45,8,1604479508,19083,5,0.346,0.625
"edison","2020-11-04T00:55:06Z",2020,11,4,0,55,6,1604480106,25764,7,0.355,0.614
"edison","2020-11-04T01:05:08Z",2020,11,4,1,5,8,1604480708,42624,12,0.322,0.647
"edison","2020-11-04T01:15:09Z",2020,11,4,1,15,9,1604481309,69053,19,0.326,0.643
"edison","2020-11-04T01:25:12Z",2020,11,4,1,25,12,1604481912,91751,26,0.307,0.659
"edison","2020-11-04T01:35:05Z",2020,11,4,1,35,5,1604482505,103071,29,0.304,0.662
"edison","2020-11-04T01:45:08Z",2020,11,4,1,45,8,1604483108,114672,32,0.308,0.658
"edison","2020-11-04T01:55:14Z",2020,11,4,1,55,14,1604483714,136043,38,0.305,0.663
"edison","2020-11-04T02:05:15Z",2020,11,4,2,5,15,1604484315,153454,43,0.298,0.671
"edison","2020-11-04T02:15:14Z",2020,11,4,2,15,14,1604484914,167333,47,0.306,0.663
"edison","2020-11-04T02:26:59Z",2020,11,4,2,26,59,1604485619,191070,54,0.302,0.668
"edison","2020-11-04T02:39:15Z",2020,11,4,2,39,15,1604486355,212448,60,0.304,0.665
"edison","2020-11-04T02:45:41Z",2020,11,4,2,45,41,1604486741,226827,64,0.308,0.662
"edison","2020-11-04T02:56:56Z",2020,11,4,2,56,56,1604487416,241071,68,0.307,0.663
"edison","2020-11-04T03:18:38Z",2020,11,4,3,18,38,1604488718,264208,74,0.304,0.666
"edison","2020-11-04T03:27:55Z",2020,11,4,3,27,55,1604489275,273275,77,0.304,0.667
