"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T10:02:04Z",2020,11,4,10,2,4,1604512924,0,0,0,0
"edison","2020-11-04T02:14:29Z",2020,11,4,2,14,29,1604484869,1095,0,0.256,0.725
"edison","2020-11-04T02:18:58Z",2020,11,4,2,18,58,1604485138,9001,0,0.619,0.362
"edison","2020-11-04T02:23:05Z",2020,11,4,2,23,5,1604485385,43641,1,0.359,0.624
"edison","2020-11-04T02:24:58Z",2020,11,4,2,24,58,1604485498,109676,3,0.543,0.441
"edison","2020-11-04T02:27:50Z",2020,11,4,2,27,50,1604485670,116441,3,0.55,0.433
"edison","2020-11-04T02:27:56Z",2020,11,4,2,27,56,1604485676,138795,4,0.496,0.487
"edison","2020-11-04T02:28:29Z",2020,11,4,2,28,29,1604485709,139671,4,0.498,0.486
"edison","2020-11-04T02:29:02Z",2020,11,4,2,29,2,1604485742,213227,6,0.474,0.508
"edison","2020-11-04T02:30:00Z",2020,11,4,2,30,0,1604485800,279037,8,0.492,0.489
"edison","2020-11-04T02:32:26Z",2020,11,4,2,32,26,1604485946,281229,8,0.493,0.488
"edison","2020-11-04T02:34:02Z",2020,11,4,2,34,2,1604486042,316869,9,0.509,0.471
"edison","2020-11-04T02:34:40Z",2020,11,4,2,34,40,1604486080,352596,10,0.477,0.504
"edison","2020-11-04T02:35:06Z",2020,11,4,2,35,6,1604486106,353826,10,0.477,0.504
"edison","2020-11-04T02:36:25Z",2020,11,4,2,36,25,1604486185,359150,10,0.48,0.502
"edison","2020-11-04T02:37:36Z",2020,11,4,2,37,36,1604486256,359709,10,0.48,0.501
"edison","2020-11-04T02:38:19Z",2020,11,4,2,38,19,1604486299,376689,10,0.482,0.499
"edison","2020-11-04T02:39:00Z",2020,11,4,2,39,0,1604486340,393072,11,0.486,0.495
"edison","2020-11-04T02:42:35Z",2020,11,4,2,42,35,1604486555,468775,13,0.469,0.512
"edison","2020-11-04T02:43:50Z",2020,11,4,2,43,50,1604486630,511953,14,0.477,0.504
"edison","2020-11-04T02:44:16Z",2020,11,4,2,44,16,1604486656,512037,14,0.477,0.504
"edison","2020-11-04T02:46:37Z",2020,11,4,2,46,37,1604486797,555995,15,0.498,0.483
"edison","2020-11-04T02:46:58Z",2020,11,4,2,46,58,1604486818,623182,17,0.466,0.516
"edison","2020-11-04T02:47:06Z",2020,11,4,2,47,6,1604486826,661164,18,0.473,0.51
"edison","2020-11-04T02:48:16Z",2020,11,4,2,48,16,1604486896,661737,18,0.472,0.509
"edison","2020-11-04T02:48:52Z",2020,11,4,2,48,52,1604486932,670482,19,0.474,0.508
"edison","2020-11-04T02:49:19Z",2020,11,4,2,49,19,1604486959,688302,19,0.474,0.507
"edison","2020-11-04T02:51:09Z",2020,11,4,2,51,9,1604487069,730981,20,0.482,0.5
"edison","2020-11-04T02:51:39Z",2020,11,4,2,51,39,1604487099,751724,21,0.474,0.509
"edison","2020-11-04T02:52:35Z",2020,11,4,2,52,35,1604487155,781761,22,0.482,0.501
"edison","2020-11-04T02:53:41Z",2020,11,4,2,53,41,1604487221,819913,23,0.487,0.496
"edison","2020-11-04T02:54:34Z",2020,11,4,2,54,34,1604487274,820289,23,0.487,0.496
"edison","2020-11-04T02:55:58Z",2020,11,4,2,55,58,1604487358,821494,23,0.487,0.495
"edison","2020-11-04T02:56:07Z",2020,11,4,2,56,7,1604487367,844894,23,0.487,0.495
"edison","2020-11-04T02:57:10Z",2020,11,4,2,57,10,1604487430,847690,24,0.488,0.495
"edison","2020-11-04T02:57:38Z",2020,11,4,2,57,38,1604487458,855189,24,0.485,0.497
"edison","2020-11-04T02:58:08Z",2020,11,4,2,58,8,1604487488,915557,25,0.495,0.488
"edison","2020-11-04T02:58:29Z",2020,11,4,2,58,29,1604487509,944136,26,0.498,0.485
"edison","2020-11-04T02:59:11Z",2020,11,4,2,59,11,1604487551,945040,26,0.498,0.485
"edison","2020-11-04T02:59:37Z",2020,11,4,2,59,37,1604487577,983937,27,0.505,0.478
"edison","2020-11-04T03:00:20Z",2020,11,4,3,0,20,1604487620,992552,28,0.505,0.477
"edison","2020-11-04T03:01:17Z",2020,11,4,3,1,17,1604487677,1026828,29,0.507,0.476
"edison","2020-11-04T03:03:52Z",2020,11,4,3,3,52,1604487832,1067172,30,0.504,0.478
"edison","2020-11-04T03:04:05Z",2020,11,4,3,4,5,1604487845,1068544,30,0.505,0.478
"edison","2020-11-04T03:06:03Z",2020,11,4,3,6,3,1604487963,1087928,30,0.506,0.477
"edison","2020-11-04T03:06:21Z",2020,11,4,3,6,21,1604487981,1089047,30,0.506,0.477
"edison","2020-11-04T03:09:17Z",2020,11,4,3,9,17,1604488157,1115492,31,0.508,0.475
"edison","2020-11-04T03:10:18Z",2020,11,4,3,10,18,1604488218,1116936,31,0.508,0.475
"edison","2020-11-04T03:10:42Z",2020,11,4,3,10,42,1604488242,1118820,31,0.508,0.475
"edison","2020-11-04T03:11:07Z",2020,11,4,3,11,7,1604488267,1127793,31,0.509,0.474
"edison","2020-11-04T03:11:30Z",2020,11,4,3,11,30,1604488290,1128436,31,0.509,0.474
"edison","2020-11-04T03:13:28Z",2020,11,4,3,13,28,1604488408,1129435,31,0.509,0.474
"edison","2020-11-04T03:14:01Z",2020,11,4,3,14,1,1604488441,1144057,32,0.51,0.473
"edison","2020-11-04T03:14:27Z",2020,11,4,3,14,27,1604488467,1144934,32,0.51,0.473
"edison","2020-11-04T03:15:00Z",2020,11,4,3,15,0,1604488500,1146504,32,0.51,0.473
"edison","2020-11-04T03:16:53Z",2020,11,4,3,16,53,1604488613,1150829,32,0.511,0.472
"edison","2020-11-04T03:22:01Z",2020,11,4,3,22,1,1604488921,1162185,32,0.511,0.472
"edison","2020-11-04T03:24:08Z",2020,11,4,3,24,8,1604489048,1177333,33,0.511,0.472
"edison","2020-11-04T03:27:32Z",2020,11,4,3,27,32,1604489252,1231243,34,0.5,0.483
"edison","2020-11-04T03:28:57Z",2020,11,4,3,28,57,1604489337,1271741,35,0.5,0.483
"edison","2020-11-04T03:30:09Z",2020,11,4,3,30,9,1604489409,1273241,35,0.5,0.483
"edison","2020-11-04T03:30:28Z",2020,11,4,3,30,28,1604489428,1293950,36,0.502,0.481
"edison","2020-11-04T03:30:52Z",2020,11,4,3,30,52,1604489452,1295948,36,0.503,0.481
"edison","2020-11-04T03:35:25Z",2020,11,4,3,35,25,1604489725,1314342,37,0.503,0.48
"edison","2020-11-04T03:37:17Z",2020,11,4,3,37,17,1604489837,1315928,37,0.502,0.481
"edison","2020-11-04T03:39:29Z",2020,11,4,3,39,29,1604489969,1338972,37,0.501,0.482
"edison","2020-11-04T03:44:05Z",2020,11,4,3,44,5,1604490245,1371871,38,0.501,0.483
"edison","2020-11-04T03:44:54Z",2020,11,4,3,44,54,1604490294,1390806,39,0.502,0.481
"edison","2020-11-04T03:46:25Z",2020,11,4,3,46,25,1604490385,1420086,39,0.5,0.483
"edison","2020-11-04T03:46:46Z",2020,11,4,3,46,46,1604490406,1433951,40,0.499,0.484
"edison","2020-11-04T03:50:10Z",2020,11,4,3,50,10,1604490610,1441731,40,0.5,0.483
"edison","2020-11-04T03:51:23Z",2020,11,4,3,51,23,1604490683,1445245,40,0.5,0.483
"edison","2020-11-04T03:53:26Z",2020,11,4,3,53,26,1604490806,1469107,41,0.502,0.481
"edison","2020-11-04T03:54:07Z",2020,11,4,3,54,7,1604490847,1469186,41,0.502,0.481
"edison","2020-11-04T03:55:00Z",2020,11,4,3,55,0,1604490900,1473224,41,0.502,0.481
"edison","2020-11-04T03:55:27Z",2020,11,4,3,55,27,1604490927,1474586,41,0.502,0.481
"edison","2020-11-04T03:56:12Z",2020,11,4,3,56,12,1604490972,1483756,41,0.503,0.48
"edison","2020-11-04T03:57:47Z",2020,11,4,3,57,47,1604491067,1485560,41,0.503,0.479
"edison","2020-11-04T03:59:40Z",2020,11,4,3,59,40,1604491180,1512162,42,0.498,0.485
