"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_trumpd","vote_shares_bidenj"
"edison","2020-11-04T08:04:01Z",2020,11,4,8,4,1,1604505841,0,0,0,0
"edison","2020-11-04T02:39:32Z",2020,11,4,2,39,32,1604486372,1741,1,0.797,0.179
"edison","2020-11-04T02:57:26Z",2020,11,4,2,57,26,1604487446,4638,2,0.84,0.131
"edison","2020-11-04T03:08:33Z",2020,11,4,3,8,33,1604488113,6617,2,0.788,0.182
"edison","2020-11-04T03:39:34Z",2020,11,4,3,39,34,1604489974,12088,4,0.803,0.163
"edison","2020-11-04T03:44:20Z",2020,11,4,3,44,20,1604490260,12872,4,0.812,0.155
"edison","2020-11-04T03:46:00Z",2020,11,4,3,46,0,1604490360,17764,6,0.759,0.196
"edison","2020-11-04T03:53:08Z",2020,11,4,3,53,8,1604490788,35182,12,0.688,0.272
"edison","2020-11-04T03:54:29Z",2020,11,4,3,54,29,1604490869,35744,12,0.691,0.27
"edison","2020-11-04T03:57:47Z",2020,11,4,3,57,47,1604491067,38500,13,0.704,0.257
"edison","2020-11-04T03:58:17Z",2020,11,4,3,58,17,1604491097,46971,16,0.692,0.271
"edison","2020-11-04T04:00:29Z",2020,11,4,4,0,29,1604491229,55250,19,0.704,0.257
"edison","2020-11-04T04:07:04Z",2020,11,4,4,7,4,1604491624,71949,25,0.719,0.245
"edison","2020-11-04T04:11:14Z",2020,11,4,4,11,14,1604491874,72137,25,0.719,0.244
"edison","2020-11-04T04:11:40Z",2020,11,4,4,11,40,1604491900,90248,31,0.708,0.256
"edison","2020-11-04T04:15:12Z",2020,11,4,4,15,12,1604492112,94260,33,0.712,0.252
"edison","2020-11-04T04:17:56Z",2020,11,4,4,17,56,1604492276,97802,34,0.718,0.247
"edison","2020-11-04T04:19:06Z",2020,11,4,4,19,6,1604492346,100714,35,0.723,0.243
"edison","2020-11-04T04:20:14Z",2020,11,4,4,20,14,1604492414,105684,36,0.726,0.239
"edison","2020-11-04T04:26:05Z",2020,11,4,4,26,5,1604492765,123462,43,0.739,0.225
"edison","2020-11-04T04:29:34Z",2020,11,4,4,29,34,1604492974,131507,45,0.731,0.234
"edison","2020-11-04T04:45:26Z",2020,11,4,4,45,26,1604493926,133393,46,0.73,0.234
"edison","2020-11-04T05:07:53Z",2020,11,4,5,7,53,1604495273,141662,49,0.74,0.223
"edison","2020-11-04T05:11:00Z",2020,11,4,5,11,0,1604495460,151062,52,0.744,0.22
"edison","2020-11-04T05:12:49Z",2020,11,4,5,12,49,1604495569,160214,55,0.748,0.216
"edison","2020-11-04T05:22:51Z",2020,11,4,5,22,51,1604496171,161337,56,0.749,0.216
"edison","2020-11-04T05:25:57Z",2020,11,4,5,25,57,1604496357,167578,58,0.75,0.215
"edison","2020-11-04T05:28:01Z",2020,11,4,5,28,1,1604496481,174547,60,0.754,0.211
"edison","2020-11-04T05:36:30Z",2020,11,4,5,36,30,1604496990,181209,62,0.754,0.211
"edison","2020-11-04T05:37:45Z",2020,11,4,5,37,45,1604497065,193043,67,0.73,0.235
"edison","2020-11-04T06:00:44Z",2020,11,4,6,0,44,1604498444,197162,68,0.733,0.232
"edison","2020-11-04T06:12:59Z",2020,11,4,6,12,59,1604499179,208457,72,0.739,0.227
"edison","2020-11-04T06:18:38Z",2020,11,4,6,18,38,1604499518,210191,72,0.739,0.226
"edison","2020-11-04T06:48:32Z",2020,11,4,6,48,32,1604501312,211837,73,0.74,0.225
"edison","2020-11-04T07:15:43Z",2020,11,4,7,15,43,1604502943,217589,75,0.743,0.223
"edison","2020-11-04T07:16:15Z",2020,11,4,7,16,15,1604502975,232266,80,0.715,0.251
"edison","2020-11-04T08:29:35Z",2020,11,4,8,29,35,1604507375,268852,93,0.697,0.268
"edison","2020-11-04T08:45:32Z",2020,11,4,8,45,32,1604508332,271429,94,0.698,0.267
"edison","2020-11-04T08:50:19Z",2020,11,4,8,50,19,1604508619,276343,95,0.699,0.266
"edison","2020-11-05T03:23:59Z",2020,11,5,3,23,59,1604575439,276343,99,0.699,0.266
"edison","2020-11-06T02:42:54Z",2020,11,6,2,42,54,1604659374,276528,99,0.7,0.266
"edison","2020-11-11T20:33:49Z",2020,11,11,20,33,49,1605155629,276535,99,0.7,0.266
"edison","2020-11-11T20:34:07Z",2020,11,11,20,34,7,1605155647,276537,99,0.7,0.266
"edison","2020-11-11T20:34:14Z",2020,11,11,20,34,14,1605155654,276538,99,0.7,0.266
"edison","2020-11-11T20:34:54Z",2020,11,11,20,34,54,1605155694,276654,99,0.7,0.266
"edison","2020-11-11T20:35:13Z",2020,11,11,20,35,13,1605155713,276624,99,0.7,0.266
"edison","2020-11-11T20:35:54Z",2020,11,11,20,35,54,1605155754,276630,99,0.7,0.266
"edison","2020-11-11T20:36:41Z",2020,11,11,20,36,41,1605155801,276648,99,0.7,0.266
"edison","2020-11-11T20:37:31Z",2020,11,11,20,37,31,1605155851,276679,99,0.7,0.266
"edison","2020-11-11T20:37:50Z",2020,11,11,20,37,50,1605155870,276681,99,0.7,0.266
"edison","2020-11-11T21:13:55Z",2020,11,11,21,13,55,1605158035,276765,99,0.699,0.266
"ap","2020-11-17T17:17:03.697Z",NA,NA,NA,NA,NA,NA,NA,275026,100,0.704,0.267
"edison","2020-11-18T17:02:33Z",2020,11,18,17,2,33,1605747753,276765,99,0.699,0.266
"edison","2020-11-20T14:18:09Z",2020,11,20,14,18,9,1605910689,276765,100,0.699,0.266
