"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_lummisc","vote_shares_ben_davidm"
"edison","2020-11-04T07:58:01Z",2020,11,4,7,58,1,1604505481,0,0,0,0
"edison","2020-11-04T02:39:59Z",2020,11,4,2,39,59,1604486399,1696,1,0.827,0.173
"edison","2020-11-04T02:57:41Z",2020,11,4,2,57,41,1604487461,4526,2,0.851,0.149
"edison","2020-11-04T03:09:04Z",2020,11,4,3,9,4,1604488144,6490,2,0.81,0.19
"edison","2020-11-04T03:13:15Z",2020,11,4,3,13,15,1604488395,7228,2,0.825,0.175
"edison","2020-11-04T03:40:05Z",2020,11,4,3,40,5,1604490005,12545,4,0.839,0.161
"edison","2020-11-04T03:46:25Z",2020,11,4,3,46,25,1604490385,17308,6,0.793,0.207
"edison","2020-11-04T03:46:56Z",2020,11,4,3,46,56,1604490416,17856,6,0.795,0.205
"edison","2020-11-04T03:53:51Z",2020,11,4,3,53,51,1604490831,34895,12,0.725,0.275
"edison","2020-11-04T03:58:44Z",2020,11,4,3,58,44,1604491124,45959,16,0.725,0.275
"edison","2020-11-04T04:06:50Z",2020,11,4,4,6,50,1604491610,54148,19,0.733,0.267
"edison","2020-11-04T04:07:32Z",2020,11,4,4,7,32,1604491652,70436,24,0.751,0.249
"edison","2020-11-04T04:09:53Z",2020,11,4,4,9,53,1604491793,73241,25,0.758,0.242
"edison","2020-11-04T04:11:40Z",2020,11,4,4,11,40,1604491900,73428,25,0.758,0.242
"edison","2020-11-04T04:11:51Z",2020,11,4,4,11,51,1604491911,91127,31,0.746,0.254
"edison","2020-11-04T04:15:23Z",2020,11,4,4,15,23,1604492123,95063,33,0.749,0.251
"edison","2020-11-04T04:18:09Z",2020,11,4,4,18,9,1604492289,98504,34,0.754,0.246
"edison","2020-11-04T04:19:36Z",2020,11,4,4,19,36,1604492376,101355,35,0.758,0.242
"edison","2020-11-04T04:20:25Z",2020,11,4,4,20,25,1604492425,106194,37,0.761,0.239
"edison","2020-11-04T04:27:19Z",2020,11,4,4,27,19,1604492839,123420,43,0.768,0.232
"edison","2020-11-04T04:29:57Z",2020,11,4,4,29,57,1604492997,131317,45,0.761,0.239
"edison","2020-11-04T04:30:59Z",2020,11,4,4,30,59,1604493059,133307,46,0.761,0.239
"edison","2020-11-04T04:45:50Z",2020,11,4,4,45,50,1604493950,135137,47,0.761,0.239
"edison","2020-11-04T05:00:55Z",2020,11,4,5,0,55,1604494855,139362,48,0.763,0.237
"edison","2020-11-04T05:07:57Z",2020,11,4,5,7,57,1604495277,151024,52,0.735,0.265
"edison","2020-11-04T05:08:19Z",2020,11,4,5,8,19,1604495299,158921,55,0.745,0.255
"edison","2020-11-04T05:11:56Z",2020,11,4,5,11,56,1604495516,168066,58,0.75,0.25
"edison","2020-11-04T05:23:12Z",2020,11,4,5,23,12,1604496192,169172,58,0.751,0.249
"edison","2020-11-04T05:26:09Z",2020,11,4,5,26,9,1604496369,175288,60,0.752,0.248
"edison","2020-11-04T05:28:15Z",2020,11,4,5,28,15,1604496495,182030,63,0.756,0.244
"edison","2020-11-04T05:37:14Z",2020,11,4,5,37,14,1604497034,188560,65,0.757,0.243
"edison","2020-11-04T05:48:41Z",2020,11,4,5,48,41,1604497721,194203,67,0.76,0.24
"edison","2020-11-04T05:55:17Z",2020,11,4,5,55,17,1604498117,208603,72,0.733,0.267
"edison","2020-11-04T06:01:01Z",2020,11,4,6,1,1,1604498461,212628,73,0.736,0.264
"edison","2020-11-04T06:13:31Z",2020,11,4,6,13,31,1604499211,223627,77,0.743,0.257
"edison","2020-11-04T06:19:00Z",2020,11,4,6,19,0,1604499540,225329,78,0.744,0.256
"edison","2020-11-04T06:49:02Z",2020,11,4,6,49,2,1604501342,226939,78,0.745,0.255
"edison","2020-11-04T07:55:43Z",2020,11,4,7,55,43,1604505343,263144,91,0.729,0.271
"edison","2020-11-04T08:45:42Z",2020,11,4,8,45,42,1604508342,265672,92,0.73,0.27
"edison","2020-11-04T08:50:41Z",2020,11,4,8,50,41,1604508641,270498,93,0.731,0.269
"edison","2020-11-05T03:23:59Z",2020,11,5,3,23,59,1604575439,270498,97,0.731,0.269
"edison","2020-11-06T02:43:32Z",2020,11,6,2,43,32,1604659412,270681,97,0.731,0.269
"edison","2020-11-11T20:47:35Z",2020,11,11,20,47,35,1605156455,270684,97,0.731,0.269
"edison","2020-11-11T20:48:04Z",2020,11,11,20,48,4,1605156484,270686,97,0.731,0.269
"edison","2020-11-11T20:48:41Z",2020,11,11,20,48,41,1605156521,270688,97,0.731,0.269
"edison","2020-11-11T20:48:54Z",2020,11,11,20,48,54,1605156534,270689,97,0.731,0.269
"edison","2020-11-11T20:49:51Z",2020,11,11,20,49,51,1605156591,270805,97,0.731,0.269
"edison","2020-11-11T20:50:31Z",2020,11,11,20,50,31,1605156631,270811,97,0.731,0.269
"edison","2020-11-11T20:51:10Z",2020,11,11,20,51,10,1605156670,270829,97,0.731,0.269
"edison","2020-11-11T20:51:40Z",2020,11,11,20,51,40,1605156700,270864,97,0.731,0.269
"edison","2020-11-11T20:52:09Z",2020,11,11,20,52,9,1605156729,270866,97,0.731,0.269
"edison","2020-11-11T22:09:12Z",2020,11,11,22,9,12,1605161352,270866,98,0.731,0.269
"ap","2020-11-17T17:17:03.697Z",NA,NA,NA,NA,NA,NA,NA,270866,100,0.731,0.269
