"sid","cid","vid","county_name","vote_type","county_fips"
1,1,1,"ALACHUA","absentee","12001"
1,1,2,"ALACHUA","early","12001"
1,1,3,"ALACHUA","electionday","12001"
1,1,4,"ALACHUA","provisional","12001"
1,2,1,"BAKER","absentee","12003"
1,2,2,"BAKER","early","12003"
1,2,3,"BAKER","electionday","12003"
1,2,4,"BAKER","provisional","12003"
1,3,1,"BAY","absentee","12005"
1,3,3,"BAY","electionday","12005"
1,4,1,"BRADFORD","absentee","12007"
1,4,2,"BRADFORD","early","12007"
1,4,3,"BRADFORD","electionday","12007"
1,4,4,"BRADFORD","provisional","12007"
1,5,1,"BREVARD","absentee","12009"
1,5,2,"BREVARD","early","12009"
1,5,3,"BREVARD","electionday","12009"
1,6,1,"BROWARD","absentee","12011"
1,6,2,"BROWARD","early","12011"
1,6,3,"BROWARD","electionday","12011"
1,6,4,"BROWARD","provisional","12011"
1,8,1,"CHARLOTTE","absentee","12015"
1,8,2,"CHARLOTTE","early","12015"
1,8,3,"CHARLOTTE","electionday","12015"
1,8,4,"CHARLOTTE","provisional","12015"
1,10,1,"CLAY","absentee","12019"
1,10,2,"CLAY","early","12019"
1,10,3,"CLAY","electionday","12019"
1,10,4,"CLAY","provisional","12019"
1,11,1,"COLLIER","absentee","12021"
1,11,2,"COLLIER","early","12021"
1,11,3,"COLLIER","electionday","12021"
1,11,4,"COLLIER","provisional","12021"
1,12,1,"COLUMBIA","absentee","12023"
1,12,2,"COLUMBIA","early","12023"
1,12,3,"COLUMBIA","electionday","12023"
1,12,4,"COLUMBIA","provisional","12023"
1,19,1,"GADSDEN","absentee","12039"
1,19,2,"GADSDEN","early","12039"
1,19,3,"GADSDEN","electionday","12039"
1,19,4,"GADSDEN","provisional","12039"
1,20,1,"GILCHRIST","absentee","12041"
1,20,2,"GILCHRIST","early","12041"
1,20,3,"GILCHRIST","electionday","12041"
1,20,4,"GILCHRIST","provisional","12041"
1,23,1,"HAMILTON","absentee","12047"
1,23,2,"HAMILTON","early","12047"
1,23,3,"HAMILTON","electionday","12047"
1,23,4,"HAMILTON","provisional","12047"
1,24,1,"HARDEE","absentee","12049"
1,24,2,"HARDEE","early","12049"
1,24,3,"HARDEE","electionday","12049"
