"sid","cid","county_name","county_fips"
3,14,"BERRIEN COUNTY","26021"
3,1,"BRANCH COUNTY","26023"
3,2,"CASS COUNTY","26027"
3,18,"CITY OF DETROIT","26163"
3,3,"EATON","26045"
3,4,"GRATIOT COUNTY","26057"
3,19,"INGHAM COUNTY","26065"
3,5,"ISABELLA COUNTY","26073"
3,20,"KALAMAZOO","26077"
3,6,"KENT COUNTY","26081"
3,7,"LAKE COUNTY","26085"
3,8,"MACOMB","26099"
3,21,"MACOMB COUNTY","26099"
3,9,"MIDLAND COUNTY","26111"
3,10,"NEWAYGO COUNTY","26123"
3,11,"OAKLAND","26125"
3,12,"SAGINAW COUNTY","26145"
3,15,"SHIAWASSEE COUNTY","26155"
3,16,"ST. CLAIR COUNTY","26147"
3,17,"ST. JOSEPH COUNTY","26149"
3,13,"VAN BUREN COUNTY","26159"
3,22,"WAYNE COUNTY","26163"
