"sid","cid","vid","county_name","vote_type","county_fips"
3,1,1,"BRANCH COUNTY","total","26023"
3,2,1,"CASS COUNTY","total","26027"
3,3,2,"EATON","absentee","26045"
3,3,3,"EATON","electionday","26045"
3,4,1,"GRATIOT COUNTY","total","26057"
3,5,1,"ISABELLA COUNTY","total","26073"
3,6,1,"KENT COUNTY","total","26081"
3,7,1,"LAKE COUNTY","total","26085"
3,8,2,"MACOMB","absentee","26099"
3,8,3,"MACOMB","electionday","26099"
3,9,1,"MIDLAND COUNTY","total","26111"
3,10,1,"NEWAYGO COUNTY","total","26123"
3,11,2,"OAKLAND","absentee","26125"
3,11,3,"OAKLAND","electionday","26125"
3,12,1,"SAGINAW COUNTY","total","26145"
3,13,1,"VAN BUREN COUNTY","total","26159"
3,14,1,"BERRIEN COUNTY","total","26021"
3,15,1,"SHIAWASSEE COUNTY","total","26155"
3,16,1,"ST. CLAIR COUNTY","total","26147"
3,17,1,"ST. JOSEPH COUNTY","total","26149"
3,18,1,"CITY OF DETROIT","total","26163"
3,19,1,"INGHAM COUNTY","total","26065"
3,20,1,"KALAMAZOO","total","26077"
3,21,1,"MACOMB COUNTY","total","26099"
3,22,1,"WAYNE COUNTY","total","26163"
