"sid","cid","vid","county_name","vote_type","county_fips"
4,1,1,"ALAMANCE","absentee","37001"
4,1,2,"ALAMANCE","early","37001"
4,1,3,"ALAMANCE","electionday","37001"
4,1,4,"ALAMANCE","provisional","37001"
4,2,1,"ALEXANDER","absentee","37003"
4,2,2,"ALEXANDER","early","37003"
4,2,3,"ALEXANDER","electionday","37003"
4,2,4,"ALEXANDER","provisional","37003"
4,3,1,"ALLEGHANY","absentee","37005"
4,3,2,"ALLEGHANY","early","37005"
4,3,3,"ALLEGHANY","electionday","37005"
4,3,4,"ALLEGHANY","provisional","37005"
4,4,1,"ANSON","absentee","37007"
4,4,2,"ANSON","early","37007"
4,4,3,"ANSON","electionday","37007"
4,4,4,"ANSON","provisional","37007"
4,5,1,"ASHE","absentee","37009"
4,5,2,"ASHE","early","37009"
4,5,3,"ASHE","electionday","37009"
4,5,4,"ASHE","provisional","37009"
4,6,1,"AVERY","absentee","37011"
4,6,2,"AVERY","early","37011"
4,6,3,"AVERY","electionday","37011"
4,6,4,"AVERY","provisional","37011"
4,7,1,"BEAUFORT","absentee","37013"
4,7,2,"BEAUFORT","early","37013"
4,7,3,"BEAUFORT","electionday","37013"
4,7,4,"BEAUFORT","provisional","37013"
4,8,1,"BERTIE","absentee","37015"
4,8,2,"BERTIE","early","37015"
4,8,3,"BERTIE","electionday","37015"
4,8,4,"BERTIE","provisional","37015"
4,9,1,"BLADEN","absentee","37017"
4,9,2,"BLADEN","early","37017"
4,9,3,"BLADEN","electionday","37017"
4,9,4,"BLADEN","provisional","37017"
4,10,1,"BRUNSWICK","absentee","37019"
4,10,2,"BRUNSWICK","early","37019"
4,10,3,"BRUNSWICK","electionday","37019"
4,10,4,"BRUNSWICK","provisional","37019"
4,11,1,"BUNCOMBE","absentee","37021"
4,11,2,"BUNCOMBE","early","37021"
4,11,3,"BUNCOMBE","electionday","37021"
4,11,4,"BUNCOMBE","provisional","37021"
4,12,1,"BURKE","absentee","37023"
4,12,2,"BURKE","early","37023"
4,12,3,"BURKE","electionday","37023"
4,12,4,"BURKE","provisional","37023"
4,13,1,"CABARRUS","absentee","37025"
4,13,2,"CABARRUS","early","37025"
4,13,3,"CABARRUS","electionday","37025"
4,13,4,"CABARRUS","provisional","37025"
4,14,1,"CALDWELL","absentee","37027"
4,14,2,"CALDWELL","early","37027"
4,14,3,"CALDWELL","electionday","37027"
4,14,4,"CALDWELL","provisional","37027"
4,15,1,"CAMDEN","absentee","37029"
4,15,2,"CAMDEN","early","37029"
4,15,3,"CAMDEN","electionday","37029"
4,15,4,"CAMDEN","provisional","37029"
4,16,1,"CARTERET","absentee","37031"
4,16,2,"CARTERET","early","37031"
4,16,3,"CARTERET","electionday","37031"
4,16,4,"CARTERET","provisional","37031"
4,17,1,"CASWELL","absentee","37033"
4,17,2,"CASWELL","early","37033"
4,17,3,"CASWELL","electionday","37033"
4,17,4,"CASWELL","provisional","37033"
4,18,1,"CATAWBA","absentee","37035"
4,18,2,"CATAWBA","early","37035"
4,18,3,"CATAWBA","electionday","37035"
4,18,4,"CATAWBA","provisional","37035"
4,19,1,"CHATHAM","absentee","37037"
4,19,2,"CHATHAM","early","37037"
4,19,3,"CHATHAM","electionday","37037"
4,19,4,"CHATHAM","provisional","37037"
4,20,1,"CHEROKEE","absentee","37039"
4,20,2,"CHEROKEE","early","37039"
4,20,3,"CHEROKEE","electionday","37039"
4,20,4,"CHEROKEE","provisional","37039"
4,21,1,"CHOWAN","absentee","37041"
4,21,2,"CHOWAN","early","37041"
4,21,3,"CHOWAN","electionday","37041"
4,21,4,"CHOWAN","provisional","37041"
4,22,1,"CLAY","absentee","37043"
4,22,2,"CLAY","early","37043"
4,22,3,"CLAY","electionday","37043"
4,22,4,"CLAY","provisional","37043"
4,23,1,"CLEVELAND","absentee","37045"
4,23,2,"CLEVELAND","early","37045"
4,23,3,"CLEVELAND","electionday","37045"
4,23,4,"CLEVELAND","provisional","37045"
4,24,1,"COLUMBUS","absentee","37047"
4,24,2,"COLUMBUS","early","37047"
4,24,3,"COLUMBUS","electionday","37047"
4,24,4,"COLUMBUS","provisional","37047"
4,25,1,"CRAVEN","absentee","37049"
4,25,2,"CRAVEN","early","37049"
4,25,3,"CRAVEN","electionday","37049"
4,25,4,"CRAVEN","provisional","37049"
4,26,1,"CUMBERLAND","absentee","37051"
4,26,2,"CUMBERLAND","early","37051"
4,26,3,"CUMBERLAND","electionday","37051"
4,26,4,"CUMBERLAND","provisional","37051"
4,27,1,"CURRITUCK","absentee","37053"
4,27,2,"CURRITUCK","early","37053"
4,27,3,"CURRITUCK","electionday","37053"
4,27,4,"CURRITUCK","provisional","37053"
4,28,1,"DARE","absentee","37055"
4,28,2,"DARE","early","37055"
4,28,3,"DARE","electionday","37055"
4,28,4,"DARE","provisional","37055"
4,29,1,"DAVIDSON","absentee","37057"
4,29,2,"DAVIDSON","early","37057"
4,29,3,"DAVIDSON","electionday","37057"
4,29,4,"DAVIDSON","provisional","37057"
4,30,1,"DAVIE","absentee","37059"
4,30,2,"DAVIE","early","37059"
4,30,3,"DAVIE","electionday","37059"
4,30,4,"DAVIE","provisional","37059"
4,31,1,"DUPLIN","absentee","37061"
4,31,2,"DUPLIN","early","37061"
4,31,3,"DUPLIN","electionday","37061"
4,31,4,"DUPLIN","provisional","37061"
4,32,1,"DURHAM","absentee","37063"
4,32,2,"DURHAM","early","37063"
4,32,3,"DURHAM","electionday","37063"
4,32,4,"DURHAM","provisional","37063"
4,33,1,"EDGECOMBE","absentee","37065"
4,33,2,"EDGECOMBE","early","37065"
4,33,3,"EDGECOMBE","electionday","37065"
4,33,4,"EDGECOMBE","provisional","37065"
4,34,1,"FORSYTH","absentee","37067"
4,34,2,"FORSYTH","early","37067"
4,34,3,"FORSYTH","electionday","37067"
4,34,4,"FORSYTH","provisional","37067"
4,35,1,"FRANKLIN","absentee","37069"
4,35,2,"FRANKLIN","early","37069"
4,35,3,"FRANKLIN","electionday","37069"
4,35,4,"FRANKLIN","provisional","37069"
4,36,1,"GASTON","absentee","37071"
4,36,2,"GASTON","early","37071"
4,36,3,"GASTON","electionday","37071"
4,36,4,"GASTON","provisional","37071"
4,37,1,"GATES","absentee","37073"
4,37,2,"GATES","early","37073"
4,37,3,"GATES","electionday","37073"
4,37,4,"GATES","provisional","37073"
4,38,1,"GRAHAM","absentee","37075"
4,38,2,"GRAHAM","early","37075"
4,38,3,"GRAHAM","electionday","37075"
4,38,4,"GRAHAM","provisional","37075"
4,39,1,"GRANVILLE","absentee","37077"
4,39,2,"GRANVILLE","early","37077"
4,39,3,"GRANVILLE","electionday","37077"
4,39,4,"GRANVILLE","provisional","37077"
4,40,1,"GREENE","absentee","37079"
4,40,2,"GREENE","early","37079"
4,40,3,"GREENE","electionday","37079"
4,40,4,"GREENE","provisional","37079"
4,41,1,"GUILFORD","absentee","37081"
4,41,2,"GUILFORD","early","37081"
4,41,3,"GUILFORD","electionday","37081"
4,41,4,"GUILFORD","provisional","37081"
4,42,1,"HALIFAX","absentee","37083"
4,42,2,"HALIFAX","early","37083"
4,42,3,"HALIFAX","electionday","37083"
4,42,4,"HALIFAX","provisional","37083"
4,43,1,"HARNETT","absentee","37085"
4,43,2,"HARNETT","early","37085"
4,43,3,"HARNETT","electionday","37085"
4,43,4,"HARNETT","provisional","37085"
4,44,1,"HAYWOOD","absentee","37087"
4,44,2,"HAYWOOD","early","37087"
4,44,3,"HAYWOOD","electionday","37087"
4,44,4,"HAYWOOD","provisional","37087"
4,45,1,"HENDERSON","absentee","37089"
4,45,2,"HENDERSON","early","37089"
4,45,3,"HENDERSON","electionday","37089"
4,45,4,"HENDERSON","provisional","37089"
4,46,1,"HERTFORD","absentee","37091"
4,46,2,"HERTFORD","early","37091"
4,46,3,"HERTFORD","electionday","37091"
4,46,4,"HERTFORD","provisional","37091"
4,47,1,"HOKE","absentee","37093"
4,47,2,"HOKE","early","37093"
4,47,3,"HOKE","electionday","37093"
4,47,4,"HOKE","provisional","37093"
4,48,1,"HYDE","absentee","37095"
4,48,2,"HYDE","early","37095"
4,48,3,"HYDE","electionday","37095"
4,48,4,"HYDE","provisional","37095"
4,49,1,"IREDELL","absentee","37097"
4,49,2,"IREDELL","early","37097"
4,49,3,"IREDELL","electionday","37097"
4,49,4,"IREDELL","provisional","37097"
4,50,1,"JACKSON","absentee","37099"
4,50,2,"JACKSON","early","37099"
4,50,3,"JACKSON","electionday","37099"
4,50,4,"JACKSON","provisional","37099"
4,51,1,"JOHNSTON","absentee","37101"
4,51,2,"JOHNSTON","early","37101"
4,51,3,"JOHNSTON","electionday","37101"
4,51,4,"JOHNSTON","provisional","37101"
4,52,1,"JONES","absentee","37103"
4,52,2,"JONES","early","37103"
4,52,3,"JONES","electionday","37103"
4,52,4,"JONES","provisional","37103"
4,53,1,"LEE","absentee","37105"
4,53,2,"LEE","early","37105"
4,53,3,"LEE","electionday","37105"
4,53,4,"LEE","provisional","37105"
4,54,1,"LENOIR","absentee","37107"
4,54,2,"LENOIR","early","37107"
4,54,3,"LENOIR","electionday","37107"
4,54,4,"LENOIR","provisional","37107"
4,55,1,"LINCOLN","absentee","37109"
4,55,2,"LINCOLN","early","37109"
4,55,3,"LINCOLN","electionday","37109"
4,55,4,"LINCOLN","provisional","37109"
4,56,1,"MACON","absentee","37113"
4,56,2,"MACON","early","37113"
4,56,3,"MACON","electionday","37113"
4,56,4,"MACON","provisional","37113"
4,57,1,"MADISON","absentee","37115"
4,57,2,"MADISON","early","37115"
4,57,3,"MADISON","electionday","37115"
4,57,4,"MADISON","provisional","37115"
4,58,1,"MARTIN","absentee","37117"
4,58,2,"MARTIN","early","37117"
4,58,3,"MARTIN","electionday","37117"
4,58,4,"MARTIN","provisional","37117"
4,59,1,"MCDOWELL","absentee","37111"
4,59,2,"MCDOWELL","early","37111"
4,59,3,"MCDOWELL","electionday","37111"
4,59,4,"MCDOWELL","provisional","37111"
4,60,1,"MECKLENBURG","absentee","37119"
4,60,2,"MECKLENBURG","early","37119"
4,60,3,"MECKLENBURG","electionday","37119"
4,60,4,"MECKLENBURG","provisional","37119"
4,61,1,"MITCHELL","absentee","37121"
4,61,2,"MITCHELL","early","37121"
