"sid","cid","pid","vid","county_name","precinct_id","vote_type","county_fips","precinct_geo_id","precinct_name"
5,2,3112,1,"ALLEGHENY","ALEPPO","absentee","42003","42003-ALEPPO 01","ALEPPO"
5,2,3112,2,"ALLEGHENY","ALEPPO","electionday","42003","42003-ALEPPO 01","ALEPPO"
5,2,3113,1,"ALLEGHENY","ASPINWALL DIST 1","absentee","42003","42003-ASPINWALL 1","ASPINWALL 1"
5,2,3113,2,"ALLEGHENY","ASPINWALL DIST 1","electionday","42003","42003-ASPINWALL 1","ASPINWALL 1"
5,2,3114,1,"ALLEGHENY","ASPINWALL DIST 2","absentee","42003","42003-ASPINWALL 2","ASPINWALL 2"
5,2,3114,2,"ALLEGHENY","ASPINWALL DIST 2","electionday","42003","42003-ASPINWALL 2","ASPINWALL 2"
5,2,3115,1,"ALLEGHENY","ASPINWALL DIST 3","absentee","42003","42003-ASPINWALL 3","ASPINWALL 3"
5,2,3115,2,"ALLEGHENY","ASPINWALL DIST 3","electionday","42003","42003-ASPINWALL 3","ASPINWALL 3"
5,2,3116,1,"ALLEGHENY","AVALON WARD 1","absentee","42003","42003-AVALON 1","AVALON 1"
5,2,3116,2,"ALLEGHENY","AVALON WARD 1","electionday","42003","42003-AVALON 1","AVALON 1"
5,2,3117,1,"ALLEGHENY","AVALON WARD 2 DIST 1","absentee","42003","42003-AVALON 2-1","AVALON 2-1"
5,2,3117,2,"ALLEGHENY","AVALON WARD 2 DIST 1","electionday","42003","42003-AVALON 2-1","AVALON 2-1"
5,2,3118,1,"ALLEGHENY","AVALON WARD 2 DIST 2","absentee","42003","42003-AVALON 2-2","AVALON 2-2"
5,2,3118,2,"ALLEGHENY","AVALON WARD 2 DIST 2","electionday","42003","42003-AVALON 2-2","AVALON 2-2"
5,2,3119,1,"ALLEGHENY","AVALON WARD 3 DIST 1","absentee","42003","42003-AVALON 3-1","AVALON 3-1"
5,2,3119,2,"ALLEGHENY","AVALON WARD 3 DIST 1","electionday","42003","42003-AVALON 3-1","AVALON 3-1"
5,2,3120,1,"ALLEGHENY","AVALON WARD 3 DIST 2","absentee","42003","42003-AVALON 3-2","AVALON 3-2"
5,2,3120,2,"ALLEGHENY","AVALON WARD 3 DIST 2","electionday","42003","42003-AVALON 3-2","AVALON 3-2"
5,2,3121,1,"ALLEGHENY","AVALON WARD 3 DIST 3","absentee","42003","42003-AVALON 3-3","AVALON 3-3"
5,2,3121,2,"ALLEGHENY","AVALON WARD 3 DIST 3","electionday","42003","42003-AVALON 3-3","AVALON 3-3"
5,2,3122,1,"ALLEGHENY","BALDWIN BR DIST 1","absentee","42003","42003-BALDWIN BORO 01","BALDWIN BORO 01"
5,2,3122,2,"ALLEGHENY","BALDWIN BR DIST 1","electionday","42003","42003-BALDWIN BORO 01","BALDWIN BORO 01"
5,2,3123,1,"ALLEGHENY","BALDWIN BR DIST 10","absentee","42003","42003-BALDWIN BORO 10","BALDWIN BORO 10"
5,2,3123,2,"ALLEGHENY","BALDWIN BR DIST 10","electionday","42003","42003-BALDWIN BORO 10","BALDWIN BORO 10"
5,2,3124,1,"ALLEGHENY","BALDWIN BR DIST 11","absentee","42003","42003-BALDWIN BORO 11","BALDWIN BORO 11"
5,2,3124,2,"ALLEGHENY","BALDWIN BR DIST 11","electionday","42003","42003-BALDWIN BORO 11","BALDWIN BORO 11"
5,2,3125,1,"ALLEGHENY","BALDWIN BR DIST 12","absentee","42003","42003-BALDWIN BORO 12","BALDWIN BORO 12"
5,2,3125,2,"ALLEGHENY","BALDWIN BR DIST 12","electionday","42003","42003-BALDWIN BORO 12","BALDWIN BORO 12"
5,2,3126,1,"ALLEGHENY","BALDWIN BR DIST 13","absentee","42003","42003-BALDWIN BORO 13","BALDWIN BORO 13"
5,2,3126,2,"ALLEGHENY","BALDWIN BR DIST 13","electionday","42003","42003-BALDWIN BORO 13","BALDWIN BORO 13"
5,2,3127,1,"ALLEGHENY","BALDWIN BR DIST 14","absentee","42003","42003-BALDWIN BORO 14","BALDWIN BORO 14"
5,2,3127,2,"ALLEGHENY","BALDWIN BR DIST 14","electionday","42003","42003-BALDWIN BORO 14","BALDWIN BORO 14"
5,2,3128,1,"ALLEGHENY","BALDWIN BR DIST 15","absentee","42003","42003-BALDWIN BORO 15","BALDWIN BORO 15"
